Organism Name,Organism Groups,Strain,BioSample,BioProject,Assembly,Level,Size(Mb),GC%,Replicons,WGS,Scaffolds,CDS,Release Date,GenBank FTP,RefSeq FTP,Genes
"Plasmodiophora brassicae","Eukaryota;Protists;Other Protists","P.b-40","SAMN10755765","PRJNA515478","GCA_009726235.1","Scaffold",24.0522,58.5,,"SGDP01",165,0,"2019-12-02T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/009/726/235/GCA_009726235.1_ASM972623v1",,0
"Neurospora discreta","Eukaryota;Fungi;Ascomycetes","FGSC 26655","SAMN09882689","PRJNA487060","GCA_009802495.1","Scaffold",27.9215,45.1,,"RAKO01",40049,0,"2019-12-27T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/009/802/495/GCA_009802495.1_ASM980249v1",,0
"Aureobasidium pullulans","Eukaryota;Fungi;Ascomycetes","EXF-10080","SAMN10031609","PRJNA488010","GCA_004917605.1","Contig",27.7123,50.7,,"QZAU01",2051,10644,"2019-04-26T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/004/917/605/GCA_004917605.1_ASM491760v1",,10644
"Heliconius melpomene melpomene","Eukaryota;Animals;Insects","Panama inbred isolate 1","SAMEA2272543","PRJEA71053","GCA_000326025.1","Contig",66.9513,32.8,,"CAFA01",14286,0,"2012-10-05T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/326/025/GCA_000326025.1_ASM32602v1",,0
"Fusarium oxysporum","Eukaryota;Fungi;Ascomycetes","KOD887","SAMN07201031","PRJNA389501","GCA_002233985.1","Scaffold",50.4106,47.5,,"NJBV01",1275,0,"2017-07-27T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/002/233/985/GCA_002233985.1_Fophy_KOD887",,0
"Aspergillus oryzae","Eukaryota;Fungi;Ascomycetes","TK-47","SAMD00154466","PRJDB7763","GCA_009687045.1","Scaffold",38.3233,47.2,,"BIZZ01",133,0,"2019-11-13T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/009/687/045/GCA_009687045.1_AoryTK47_1.0",,0
"Oryza rufipogon","Eukaryota;Plants;Land Plants","","SAMEA1531505","PRJEB29274","GCA_900609505.1","Contig",0.49038,42.9,,"UXCR01",321,0,"2019-01-10T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/900/609/505/GCA_900609505.1_Draft_mitochondrial_genome_of_wild_rice_W3009",,0
"Aspergillus flavus","Eukaryota;Fungi;Ascomycetes","IFM 59975","SAMD00081536","PRJDB5755","GCA_003967715.1","Scaffold",36.4015,48.3,,"BEXO01",665,0,"2018-12-14T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/003/967/715/GCA_003967715.1_Afla_1.0",,0
"Canis lupus familiaris","Eukaryota;Animals;Mammals","","SAMEA6249969","PRJEB31489","GCA_902724895.1"," Chromosome",0.016129,39.4,"chromosome 1:LR745161.1",,1,0,"2020-01-09T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/902/724/895/GCA_902724895.1_TRF.01.45_Inugsuk_GL_Thule",,0
"Pyricularia oryzae","Eukaryota;Fungi;Ascomycetes","HB-14","SAMN06050098","PRJNA354675","GCA_003016015.1","Scaffold",38.2015,51.8,,"MQPH01",2005,0,"2018-03-26T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/003/016/015/GCA_003016015.1_ASM301601v1",,0
"Cryptococcus neoformans var. grubii A1-35-8","Eukaryota;Fungi;Basidiomycetes","A1-35-8","SAMN01162770","PRJNA174564","GCA_002221985.1","Scaffold",18.8199,48.2,,"APKI01",557,7114,"2017-07-20T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/002/221/985/GCA_002221985.1_Cryp_neof_grubii_A1-35-8_V1",,7114
"Plasmodium falciparum Palo Alto/Uganda","Eukaryota;Protists;Apicomplexans","Palo Alto/Uganda","SAMN02953833","PRJNA67499","GCA_000521095.1","Scaffold",24.5624,25.8,,"AOPT01",218,0,"2014-01-16T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/521/095/GCA_000521095.1_Plas_falc_Uganda_Palo-Alto_FUP_H_V1",,0
"Homo sapiens","Eukaryota;Animals;Mammals","HG03719","SAMN13207434","PRJNA587728","GCA_010580605.1","Contig",2877.49,40.9,,"JAAIIE01",1771,0,"2020-02-13T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/010/580/605/GCA_010580605.1_HG03719_prelim_1.0",,0
"Candida albicans P78048","Eukaryota;Fungi;Ascomycetes","P78048","SAMN01048009","PRJNA75225","GCA_000773725.1","Scaffold",14.5034,33.7,,"AJIX01",59,6312,"2014-11-05T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/773/725/GCA_000773725.1_Cand_albi_P78048_V1",,6440
"Saccharomyces cerevisiae YJM555","Eukaryota;Fungi;Ascomycetes","YJM555","SAMN01923130","PRJNA189864","GCA_000976185.2"," Chromosome",13.2955,38.7803,"chromosome I:CP004427.2; chromosome II:CP004631.2; chromosome III:CP006348.2; chromosome IV:CP004677.2; chromosome V:CP004771.2; chromosome VI:CP004907.2; chromosome VII:CP005211.2; chromosome VIII:CP006136.2; chromosome IX:CP004999.2; chromosome X:CP005131.2; chromosome XI:CP005308.2; chromosome XII:CP006452.1; chromosome XIII:CP005409.2; chromosome XIV:CP005511.2; chromosome XV:CP005605.2; chromosome XVI:CP006228.2; plasmid 2 micron:CP004516.1; mitochondrion MT:CP006491.1",,18,5457,"2015-02-23T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/976/185/GCA_000976185.2_Sc_YJM555_v1",,7800
"Oryza sativa","Eukaryota;Plants;Land Plants","","SAMN04524138","PRJNA313502","GCA_001648735.1","Scaffold",307.225,41.4,,"LVCG01",55637,0,"2016-05-19T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/648/735/GCA_001648735.1_ASM164873v1",,0
"Arabidopsis thaliana","Eukaryota;Plants;Land Plants","","SAMEA104356394","PRJEB23122","GCA_900234175.1","Contig",1.93182,36.6,,"OCYM01",173,0,"2019-06-17T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/900/234/175/GCA_900234175.1_assembly_1",,0
"Arabidopsis thaliana","Eukaryota;Plants;Land Plants","","SAMEA104356379","PRJEB23122","GCA_900234115.1","Contig",1.8648,36.8,,"OCXN01",164,0,"2019-06-17T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/900/234/115/GCA_900234115.1_assembly_1",,0
"Oryza sativa Indica Group","Eukaryota;Plants;Land Plants","","SAMN11445093","PRJNA533186","GCA_006992885.1","Scaffold",281.326,42.2,,"SWLY01",91264,0,"2019-07-15T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/006/992/885/GCA_006992885.1_ASM699288v1",,0
"Saccharomyces cerevisiae YJM1307","Eukaryota;Fungi;Ascomycetes","YJM1307","SAMN01923159","PRJNA189893","GCA_000977055.3"," Chromosome",13.0625,38.709,"chromosome I:CP004458.2; chromosome II:CP004640.2; chromosome III:CP006287.1; chromosome IV:CP004708.2; chromosome V:CP004803.2; chromosome VI:CP004938.2; chromosome VII:CP005242.2; chromosome VIII:CP006075.2; chromosome IX:CP005031.2; chromosome X:CP005144.1; chromosome XI:CP005339.2; chromosome XII:CP006391.1; chromosome XIII:CP005440.1; chromosome XIV:CP005542.2; chromosome XV:CP005636.2; chromosome XVI:CP006167.2; plasmid 2 micron:CP004541.1; mitochondrion MT:CP006522.1",,18,5414,"2015-02-23T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/977/055/GCA_000977055.3_Sc_YJM1307_v1",,7510
"Candida albicans P57055","Eukaryota;Fungi;Ascomycetes","P57055","SAMN01048013","PRJNA75239","GCA_000775505.1","Scaffold",14.5943,33.7,,"AJJB01",56,6287,"2014-11-10T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/775/505/GCA_000775505.1_Cand_albi_P57055_V1",,6415
"Homo sapiens","Eukaryota;Animals;Mammals","CHM13","SAMN03255769","PRJNA269593","GCA_000983465.1","Contig",3061.24,44.4,"mitochondrion MT:CM003244.1","LBLP01",15538,0,"2015-04-30T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/983/465/GCA_000983465.1_CHM13_Default_5_Error",,0
"Plasmodium falciparum 365.1","Eukaryota;Protists;Apicomplexans","365.1","SAMN02373821","PRJNA178337","GCA_001861175.1","Scaffold",30.532,0,,"JPSE01",8878,0,"2016-11-02T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/861/175/GCA_001861175.1_365_1",,0
"Cryptococcus neoformans var. grubii","Eukaryota;Fungi;Basidiomycetes","CM36","SAMEA104141297","PRJNA193063","GCA_002222245.1","Scaffold",18.6103,48.2,,"APKJ01",465,6927,"2017-07-20T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/002/222/245/GCA_002222245.1_Cryp_neof_grubii_cng2_V1",,6927
"Pyricularia oryzae","Eukaryota;Fungi;Ascomycetes","YN8773R-27","SAMN06050144","PRJNA354675","GCA_003016575.1","Scaffold",37.3754,51.7,,"MQRB01",1548,0,"2018-03-26T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/003/016/575/GCA_003016575.1_ASM301657v1",,0
"Canis lupus familiaris","Eukaryota;Animals;Mammals","","SAMEA6249966","PRJEB31489","GCA_902724905.1"," Chromosome",0.016129,39.4,"chromosome 1:LR745162.1",,1,0,"2020-01-09T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/902/724/905/GCA_902724905.1_TRF.01.39_Qilalukan_CA_Thule",,0
"Aspergillus flavus","Eukaryota;Fungi;Ascomycetes","IFM 60519","SAMD00081537","PRJDB5756","GCA_003967735.1","Scaffold",36.7583,48.3,,"BEXP01",705,0,"2018-12-14T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/003/967/735/GCA_003967735.1_Afla_1.0",,0
"Oryza rufipogon","Eukaryota;Plants;Land Plants","","SAMEA1531352","PRJEB29274","GCA_900609135.1","Contig",0.424383,43.3,,"UXBE01",108,0,"2019-01-10T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/900/609/135/GCA_900609135.1_Draft_mitochondrial_genome_of_wild_rice_W0589",,0
"Aspergillus oryzae","Eukaryota;Fungi;Ascomycetes","TK-40","SAMD00154459","PRJDB7763","GCA_009686905.1","Scaffold",37.7749,47.3,,"BIZS01",89,0,"2019-11-13T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/009/686/905/GCA_009686905.1_AoryTK40_1.0",,0
"Fusarium oxysporum","Eukaryota;Fungi;Ascomycetes","IMV 00293","SAMN06076684","PRJNA355122","GCA_001931975.2","Scaffold",51.3186,47.6,,"MSJJ02",876,0,"2017-01-04T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/931/975/GCA_001931975.2_ASM193197v2",,0
"Heliconius melpomene aglaope","Eukaryota;Animals;Insects","","SAMEA1094487","PRJEB8011","GCA_001485885.1","Scaffold",13.6608,31.6,,"FAQM01",32816,0,"2015-11-29T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/485/885/GCA_001485885.1_Heliconius_melpomene_aglaope.09-246",,0
"Aureobasidium pullulans","Eukaryota;Fungi;Ascomycetes","EXF-3844","SAMN10031588","PRJNA488010","GCA_004917745.1","Contig",27.2155,50.8,,"QZBN01",2585,10416,"2019-04-26T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/004/917/745/GCA_004917745.1_ASM491774v1",,10416
"Plasmodiophora brassicae","Eukaryota;Protists;Other Protists","P.b-26","SAMN10755751","PRJNA515478","GCA_009726555.1","Scaffold",24.049,58.5,,"SGED01",164,0,"2019-12-02T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/009/726/555/GCA_009726555.1_ASM972655v1",,0
"Venturia inaequalis","Eukaryota;Fungi;Ascomycetes","2453","SAMN07816582","PRJNA407103","GCA_003690385.1","Scaffold",47.5932,0,,"QWXW01",8127,0,"2018-10-26T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/003/690/385/GCA_003690385.1_ASM369038v1",,0
"Saitozyma podzolica","Eukaryota;Fungi;Basidiomycetes","","SAMEA6056417","PRJEB34750","GCA_902501445.1","Scaffold",56.2124,58.9,,"CABVUI01",988,0,"2019-12-16T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/902/501/445/GCA_902501445.1_P5-6",,0
"Saitozyma podzolica","Eukaryota;Fungi;Basidiomycetes","","SAMEA6056398","PRJEB34750","GCA_902501095.1","Scaffold",33.3264,60.4,,"CABVTB01",497,0,"2019-12-16T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/902/501/095/GCA_902501095.1_C4-18",,0
"Venturia inaequalis","Eukaryota;Fungi;Ascomycetes","2456","SAMN07816585","PRJNA407103","GCA_003691215.1","Scaffold",42.6363,0,,"QWXZ01",9832,0,"2018-10-26T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/003/691/215/GCA_003691215.1_ASM369121v1",,0
"Plasmodiophora brassicae","Eukaryota;Protists;Other Protists","P.b-35","SAMN10755760","PRJNA515478","GCA_009726355.1","Scaffold",24.0522,58.5,,"SGDU01",165,0,"2019-12-02T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/009/726/355/GCA_009726355.1_ASM972635v1",,0
"Aureobasidium pullulans","Eukaryota;Fungi;Ascomycetes","EXF-4010","SAMN10031591","PRJNA488010","GCA_004917705.1","Contig",27.161,50.8,,"QZBK01",2664,10428,"2019-04-26T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/004/917/705/GCA_004917705.1_ASM491770v1",,10428
"Heliconius melpomene amaryllis","Eukaryota;Animals;Insects","","SAMEA1094474","PRJEB8011","GCA_001486025.1","Scaffold",56.2894,31.5,,"FARH01",146766,0,"2015-11-29T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/486/025/GCA_001486025.1_Heliconius_melpomene_amaryllis.09-79",,0
"Fusarium oxysporum","Eukaryota;Fungi;Ascomycetes","UASWS AC1","SAMN02666737","PRJNA239660","GCA_000733055.2","Contig",50.5502,47.584,"mitochondrion MT:KR952337.1","JNNQ01",1166,22,"2014-07-24T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/733/055/GCA_000733055.2_FoxyAC1-1.0",,49
"Aspergillus oryzae","Eukaryota;Fungi;Ascomycetes","TK-11","SAMD00154430","PRJDB7763","GCA_009684995.1","Scaffold",37.7741,47.3,,"BIYP01",107,0,"2019-11-13T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/009/684/995/GCA_009684995.1_AoryTK11_1.0",,0
"Oryza rufipogon","Eukaryota;Plants;Land Plants","","SAMEA1531335","PRJEB29274","GCA_900609495.1","Contig",0.429759,43.4,,"UXCM01",130,0,"2019-01-10T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/900/609/495/GCA_900609495.1_Draft_mitochondrial_genome_of_wild_rice_W1865",,0
"Aspergillus flavus","Eukaryota;Fungi;Ascomycetes","206-4","SAMN04011600","PRJNA293884","GCA_001576745.1","Contig",36.0846,48.4,,"LOAM01",999,0,"2016-02-26T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/576/745/GCA_001576745.1_ASM157674v1",,0
"Canis lupus familiaris","Eukaryota;Animals;Mammals","","SAMEA6249977","PRJEB31489","GCA_902724915.1"," Chromosome",0.016129,39.5,"chromosome 1:LR745151.1",,1,0,"2020-01-09T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/902/724/915/GCA_902724915.1_TRF.02.01_Chukotka_Rus_1927AD",,0
"Pyricularia oryzae","Eukaryota;Fungi;Ascomycetes","JS08-611","SAMN06050104","PRJNA354675","GCA_003016275.1","Scaffold",38.1997,51.8,,"MQPN01",1976,0,"2018-03-26T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/003/016/275/GCA_003016275.1_ASM301627v1",,0
"Cryptococcus neoformans var. grubii","Eukaryota;Fungi;Basidiomycetes","RCT54","SAMEA104141359","PRJNA193058","GCA_002222015.1","Scaffold",18.606,48.2,,"APKO01",494,6969,"2017-07-20T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/002/222/015/GCA_002222015.1_Cryp_neof_grubii_cng8_V1",,6969
"Plasmodium falciparum NF54","Eukaryota;Protists;Apicomplexans","NF54","SAMN01737343","PRJNA67505","GCA_000401695.2","Scaffold",25.8002,28.4,,"AMYQ01",371,0,"2013-05-16T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/401/695/GCA_000401695.2_Plas_falc_NF4_V1",,0
"Homo sapiens","Eukaryota;Animals;Mammals","HG01567","SAMN13207431","PRJNA587727","GCA_010279795.1","Contig",2857.96,40.9,,"JAAGKU01",1679,0,"2020-02-06T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/010/279/795/GCA_010279795.1_HG01567_prelim_1.0",,0
"Candida albicans P34048","Eukaryota;Fungi;Ascomycetes","P34048","SAMN01048010","PRJNA75229","GCA_000775465.1","Scaffold",14.5429,33.7,,"AJIZ01",52,6276,"2014-11-10T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/775/465/GCA_000775465.1_Cand_albi_P34048_V1",,6402
"Saccharomyces cerevisiae YJM1242","Eukaryota;Fungi;Ascomycetes","YJM1242","SAMN01923152","PRJNA189886","GCA_000976845.3"," Chromosome",12.1747,38.3443,"chromosome I:CP004451.2; chromosome II:CP004610.2; chromosome III:CP006280.2; chromosome IV:CP004701.2; chromosome V:CP004795.2; chromosome VI:CP004931.2; chromosome VII:CP005235.2; chromosome VIII:CP006068.2; chromosome IX:CP005023.2; chromosome X:CP005137.2; chromosome XI:CP005332.1; chromosome XII:CP006384.1; chromosome XIII:CP005433.2; chromosome XIV:CP005535.2; chromosome XV:CP005629.2; chromosome XVI:CP006160.2; plasmid 2 micron:CP004537.1; mitochondrion MT:CP006515.1",,18,5402,"2015-02-23T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/976/845/GCA_000976845.3_Sc_YJM1242_v1",,6542
"Arabidopsis thaliana","Eukaryota;Plants;Land Plants","","SAMEA104356386","PRJEB23122","GCA_900233995.1","Contig",2.27278,36.6,,"OCXQ01",199,0,"2019-06-17T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/900/233/995/GCA_900233995.1_assembly_1",,0
"Oryza sativa","Eukaryota;Plants;Land Plants","","SAMN04538187","PRJNA313502","GCA_001648745.1","Scaffold",295.39,41,,"LVCH01",64800,0,"2016-05-19T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/648/745/GCA_001648745.1_IL50-13",,0
"Arabidopsis thaliana","Eukaryota;Plants;Land Plants","","SAMEA104356405","PRJEB23122","GCA_900234145.1","Contig",1.83575,36.9,,"OCXW01",156,0,"2019-06-17T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/900/234/145/GCA_900234145.1_assembly_1",,0
"Oryza sativa Japonica Group","Eukaryota;Plants;Land Plants","","","PRJNA13141","GCA_004295705.1"," Chromosome",43.3424,43.8,"chromosome 1:BA000010.8",,1,7192,"2003-11-27T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/004/295/705/GCA_004295705.1_ASM429570v1",,12165
"Saccharomyces cerevisiae YJM193","Eukaryota;Fungi;Ascomycetes","YJM193","SAMN01923114","PRJNA189848","GCA_000975765.2"," Chromosome",13.0078,38.71,"chromosome I:CP004411.2; chromosome II:CP004615.2; chromosome III:CP006332.2; chromosome IV:CP004661.2; chromosome V:CP004755.2; chromosome VI:CP004891.2; chromosome VII:CP005195.2; chromosome VIII:CP006120.2; chromosome IX:CP004983.2; chromosome X:CP005115.2; chromosome XI:CP005292.1; chromosome XII:CP006436.1; chromosome XIII:CP005393.2; chromosome XIV:CP005495.2; chromosome XV:CP005589.2; chromosome XVI:CP006212.2; plasmid 2 micron:CP004503.1; mitochondrion MT:CP006475.1",,18,5410,"2015-02-23T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/975/765/GCA_000975765.2_Sc_YJM193_v1",,7496
"Candida albicans P75016","Eukaryota;Fungi;Ascomycetes","P75016","SAMN01048012","PRJNA75237","GCA_000784595.1","Scaffold",14.6803,34,,"JPEV01",50,6235,"2014-11-17T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/784/595/GCA_000784595.1_Cand_albi_P75016_V1",,6365
"Homo sapiens","Eukaryota;Animals;Mammals","CHM13","SAMN03255769","PRJNA269593","GCA_001015385.3","Contig",3065,44.4,"mitochondrion MT:CM003309.1","LDOC03",12091,0,"2015-06-01T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/015/385/GCA_001015385.3_CHM13_CA_Sensitive_2.5_Error",,0
"Plasmodium falciparum FCH/4","Eukaryota;Protists;Apicomplexans","FCH/4","SAMN00765683","PRJNA67481","GCA_000521155.1","Scaffold",24.6945,32.2,,"AOPV01",405,0,"2014-01-16T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/521/155/GCA_000521155.1_Plas_falc_FCH_4_V2",,0
"Cryptococcus neoformans var. grubii","Eukaryota;Fungi;Basidiomycetes","CM50","SAMEA104141299","PRJNA193062","GCA_002222135.1","Scaffold",18.5603,48.2,,"APKK01",511,6942,"2017-07-20T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/002/222/135/GCA_002222135.1_Cryp_neof_grubii_cng1_V1",,6942
"Pyricularia oryzae","Eukaryota;Fungi;Ascomycetes","B2","SAMN05580113","PRJNA320483","GCA_002218465.1","Scaffold",41.7719,50.4,,"MDUN01",1332,0,"2017-07-14T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/002/218/465/GCA_002218465.1_ASM221846v1",,0
"Canis lupus familiaris","Eukaryota;Animals;Mammals","","SAMEA6249981","PRJEB31489","GCA_902724935.1"," Chromosome",0.016129,39.4,"chromosome 1:LR745172.1",,1,0,"2020-01-09T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/902/724/935/GCA_902724935.1_TRF.02.16_St.Lawrence_Alaska_AD1939",,0
"Aspergillus flavus","Eukaryota;Fungi;Ascomycetes","IFM 55053","SAMD00081532","PRJDB5751","GCA_003967635.1","Scaffold",36.459,48.4,,"BEXK01",828,0,"2018-12-14T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/003/967/635/GCA_003967635.1_Afla_1.0",,0
"Oryza rufipogon","Eukaryota;Plants;Land Plants","","SAMEA1531309","PRJEB29274","GCA_900609305.1","Contig",0.531837,42.1,,"UXBS01",488,0,"2019-01-10T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/900/609/305/GCA_900609305.1_Draft_mitochondrial_genome_of_wild_rice_W1716",,0
"Aspergillus oryzae","Eukaryota;Fungi;Ascomycetes","TK-1","SAMD00154420","PRJDB7763","GCA_009684795.1","Scaffold",36.8714,47.4,,"BIYF01",118,0,"2019-11-13T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/009/684/795/GCA_009684795.1_AoryTK1_1.0",,0
"Fusarium oxysporum","Eukaryota;Fungi;Ascomycetes","ISS-F4","SAMN09814171","PRJNA485779","GCA_004292535.1","Scaffold",53.2501,47.6,,"QUXA01",3405,0,"2019-02-22T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/004/292/535/GCA_004292535.1_ASM429253v1",,0
"Heliconius melpomene aglaope","Eukaryota;Animals;Insects","","SAMEA1094471","PRJEB8011","GCA_001485925.1","Scaffold",49.7631,31.2,,"FAQR01",132307,0,"2015-11-29T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/485/925/GCA_001485925.1_Heliconius_melpomene_aglaope.09-267",,0
"Aureobasidium pullulans","Eukaryota;Fungi;Ascomycetes","EXF-11323","SAMN10031624","PRJNA488010","GCA_004917225.1","Contig",27.0056,50.8,,"QZAH01",2846,10378,"2019-04-26T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/004/917/225/GCA_004917225.1_ASM491722v1",,10378
"Plasmodiophora brassicae","Eukaryota;Protists;Other Protists","P.b-25","SAMN10755750","PRJNA515478","GCA_009726565.1","Scaffold",24.049,58.5,,"SGEE01",164,0,"2019-12-02T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/009/726/565/GCA_009726565.1_ASM972656v1",,0
"Venturia inaequalis","Eukaryota;Fungi;Ascomycetes","2223","SAMN07816572","PRJNA407103","GCA_003690505.1","Scaffold",42.3885,0,,"QWXM01",8637,0,"2018-10-26T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/003/690/505/GCA_003690505.1_ASM369050v1",,0
"Saitozyma podzolica","Eukaryota;Fungi;Basidiomycetes","","SAMEA6056408","PRJEB34750","GCA_902501135.1","Scaffold",56.2123,58.9,,"CABVTG01",999,0,"2019-12-16T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/902/501/135/GCA_902501135.1_P5-1",,0
"Saitozyma podzolica","Eukaryota;Fungi;Basidiomycetes","","SAMEA6056387","PRJEB34750","GCA_902500955.1","Scaffold",61.1334,59.8,,"CABVSQ01",934,0,"2019-12-16T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/902/500/955/GCA_902500955.1_C3-22",,0
"Venturia inaequalis","Eukaryota;Fungi;Ascomycetes","2489","SAMN07816569","PRJNA407103","GCA_003690525.1","Scaffold",48.9377,0,,"QWXJ01",13741,0,"2018-10-26T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/003/690/525/GCA_003690525.1_ASM369052v1",,0
"Plasmodiophora brassicae","Eukaryota;Protists;Other Protists","P.b-36","SAMN10755761","PRJNA515478","GCA_009726345.1","Scaffold",24.0514,58.5,,"SGDT01",165,0,"2019-12-02T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/009/726/345/GCA_009726345.1_ASM972634v1",,0
"Aureobasidium pullulans","Eukaryota;Fungi;Ascomycetes","EXF-9399","SAMN10031606","PRJNA488010","GCA_004917415.1","Contig",28.3036,50.7,,"QZAX01",3273,10642,"2019-04-26T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/004/917/415/GCA_004917415.1_ASM491741v1",,10642
